client,worker,cpu_mean,cpu_std
6,8,5.276710382513662,0.2934707170766443
6,16,5.305005464480875,0.10763756186914177
6,32,5.603398907103826,0.5250973221855463
6,64,5.593743169398908,0.12599857545406296
24,8,10.380120218579235,0.19042414472081043
24,16,10.623366120218577,0.5780708963278497
24,32,10.492071038251364,0.40777979065873526
24,64,10.833196721311472,0.17955761926626
48,8,11.708207650273224,0.07942183956844676
48,16,12.429114754098363,0.13466174291175356
48,32,12.454863387978142,0.6152757436109798
48,64,11.770387978142075,1.0003837058647347
96,8,11.542814207650274,0.1939367669039791
96,16,12.720934426229505,0.14485123884140738
96,32,14.906256830601095,0.7510091213887408
96,64,13.899885245901638,0.05010113573408582
144,8,11.415245901639343,0.13877476745968537
144,16,13.001256830601093,0.26916225132269594
144,32,14.928245901639349,0.1104467753753319
144,64,15.149710382513662,0.1131693859781039
192,8,11.84439344262295,0.33499972550565604
192,16,17.219950819672132,5.9093378644209595
192,32,14.164273224043717,0.3755138733196288
192,64,15.738737704918037,0.5441831894911892
240,8,11.563136612021857,0.4672930799813594
240,16,12.861836065573769,0.4267870325941739
240,32,14.870573770491804,0.10567645534031558
240,64,15.982612021857923,0.2147174846080851
