client,worker,netrecv_mean,netrecv_std
6,8,7259453.306010929,60343.743112185686
6,16,7233975.43715847,124106.74622376068
6,32,7238381.901639343,55232.06482585408
6,64,7347504.99453552,102966.13192119641
24,8,19365252.808743168,307353.6663404526
24,16,20399464.513661202,119368.11652075598
24,32,19990148.415300548,227221.0811781162
24,64,19895403.836065575,172280.43968274334
48,8,22097436.524590164,10609.261152060157
48,16,23465309.284153003,250629.749545645
48,32,23219628.540983606,37995.40293353726
48,64,22738250.808743168,442482.25331244734
96,8,22005596.191256832,136443.91429134613
96,16,24518700.69945355,198010.24823792887
96,32,26752152.469945356,141876.36330900114
96,64,26668230.68306011,145173.06028681053
144,8,22250443.469945356,193592.03462340857
144,16,24513770.032786887,63011.122504476305
144,32,28257207.3989071,211759.2201478981
144,64,29573309.912568305,308434.700196201
192,8,22514057.07103825,130059.42175410785
192,16,24473077.464480877,109055.91934811049
192,32,28259825.56830601,189244.87294015195
192,64,30389354.80327869,402772.56005818053
240,8,22235573.81420765,214589.84136448358
240,16,24746080.25136612,31754.852132780776
240,32,28316014.540983606,160283.79983465647
240,64,31372647.453551915,323121.02625069604
