latency,weight
1,0
2,0
3,17
4,3305
5,17643
6,22269
7,23370
8,24914
9,21429
10,16371
11,11894
12,8756
13,6659
14,4949
15,3917
16,2957
17,2263
18,1782
19,1331
20,1092
21,900
22,706
23,591
24,521
25,452
26,401
27,332
28,281
29,285
30,253
31,221
32,234
33,223
34,213
35,170
36,182
37,157
38,182
39,154
40,134
41,148
42,127
43,128
44,117
45,125
46,106
47,108
48,95
49,88
50,78
51,74
52,76
53,64
54,54
55,61
56,58
57,66
58,70
59,56
60,61
61,60
62,50
63,46
64,55
65,51
66,48
67,50
68,49
69,37
70,45
71,50
72,46
73,50
74,32
75,40
76,47
77,27
78,25
79,24
80,31
81,21
82,30
83,21
84,21
85,15
86,15
87,8
88,8
89,13
90,16
91,8
92,6
93,11
94,7
95,13
96,5
97,2
98,2
99,4
100,3
