latency,weight
1,0
2,0
3,1
4,1367
5,12130
6,20477
7,19071
8,14684
9,10714
10,7715
11,6010
12,4666
13,3917
14,3161
15,2627
16,2164
17,1743
18,1449
19,1261
20,1135
21,1065
22,941
23,801
24,766
25,754
26,680
27,641
28,622
29,628
30,596
31,568
32,613
33,574
34,600
35,552
36,585
37,576
38,576
39,651
40,640
41,718
42,758
43,691
44,742
45,691
46,573
47,494
48,421
49,394
50,289
51,266
52,208
53,190
54,155
55,143
56,123
57,116
58,107
59,99
60,86
61,113
62,69
63,89
64,82
65,80
66,83
67,73
68,57
69,61
70,60
71,66
72,62
73,62
74,50
75,52
76,54
77,52
78,43
79,41
80,43
81,37
82,31
83,34
84,28
85,38
86,28
87,20
88,21
89,14
90,10
91,11
92,11
93,20
94,13
95,13
96,12
97,10
98,8
99,15
100,5
