latency,weight
1,0
2,0
3,2
4,582
5,5446
6,9705
7,9804
8,8185
9,6038
10,4538
11,3577
12,2611
13,2076
14,1694
15,1368
16,1156
17,910
18,698
19,580
20,536
21,452
22,415
23,343
24,323
25,340
26,317
27,295
28,261
29,283
30,247
31,232
32,291
33,248
34,227
35,278
36,268
37,286
38,274
39,283
40,282
41,326
42,346
43,310
44,266
45,280
46,278
47,247
48,188
49,139
50,128
51,121
52,105
53,87
54,77
55,58
56,65
57,59
58,61
59,52
60,52
61,39
62,32
63,39
64,36
65,34
66,36
67,27
68,50
69,45
70,36
71,41
72,38
73,42
74,22
75,38
76,26
77,24
78,32
79,27
80,27
81,20
82,23
83,18
84,19
85,18
86,19
87,8
88,13
89,11
90,10
91,8
92,6
93,8
94,7
95,5
96,7
97,4
98,7
99,4
100,4
