latency,weight
1,0
2,0
3,4
4,1189
5,9958
6,17192
7,16279
8,12478
9,9271
10,6736
11,5070
12,4003
13,3245
14,2541
15,1987
16,1744
17,1380
18,1201
19,985
20,840
21,782
22,709
23,587
24,539
25,562
26,508
27,486
28,498
29,457
30,430
31,456
32,479
33,452
34,425
35,434
36,428
37,474
38,501
39,471
40,522
41,560
42,580
43,561
44,553
45,493
46,373
47,343
48,311
49,243
50,198
51,167
52,144
53,122
54,125
55,118
56,90
57,80
58,82
59,70
60,77
61,71
62,65
63,80
64,73
65,65
66,65
67,76
68,65
69,59
70,49
71,53
72,49
73,48
74,37
75,57
76,40
77,31
78,46
79,33
80,22
81,26
82,25
83,25
84,17
85,20
86,13
87,19
88,10
89,19
90,12
91,18
92,9
93,12
94,9
95,11
96,11
97,8
98,7
99,9
100,6
