latency,weight
1,0
2,0
3,2
4,1071
5,10562
6,20282
7,20879
8,17078
9,12509
10,9527
11,7079
12,5372
13,4069
14,3277
15,2467
16,1930
17,1571
18,1142
19,933
20,824
21,664
22,584
23,511
24,462
25,402
26,373
27,360
28,337
29,325
30,310
31,313
32,310
33,268
34,246
35,259
36,282
37,261
38,267
39,295
40,266
41,270
42,278
43,297
44,269
45,239
46,216
47,210
48,200
49,137
50,130
51,130
52,87
53,91
54,75
55,64
56,61
57,45
58,56
59,52
60,51
61,55
62,54
63,39
64,44
65,54
66,45
67,55
68,61
69,45
70,46
71,40
72,41
73,54
74,49
75,38
76,41
77,27
78,32
79,31
80,33
81,32
82,21
83,20
84,19
85,21
86,14
87,15
88,16
89,11
90,9
91,10
92,11
93,7
94,13
95,6
96,9
97,7
98,4
99,10
100,11
