latency,weight
1,0
2,0
3,1
4,824
5,6744
6,11503
7,11049
8,8768
9,6149
10,4401
11,3336
12,2470
13,1824
14,1545
15,1163
16,1004
17,790
18,676
19,583
20,496
21,431
22,385
23,355
24,354
25,295
26,274
27,277
28,256
29,229
30,259
31,221
32,239
33,229
34,243
35,228
36,294
37,309
38,295
39,317
40,294
41,309
42,311
43,309
44,273
45,236
46,204
47,182
48,139
49,111
50,103
51,95
52,96
53,77
54,47
55,55
56,54
57,41
58,41
59,42
60,33
61,23
62,37
63,27
64,41
65,33
66,49
67,38
68,31
69,31
70,41
71,34
72,34
73,36
74,30
75,22
76,26
77,36
78,21
79,22
80,20
81,14
82,18
83,13
84,10
85,12
86,10
87,23
88,11
89,7
90,7
91,7
92,3
93,6
94,7
95,5
96,4
97,4
98,6
99,4
100,4
