latency,weight
1,0
2,0
3,2
4,957
5,9490
6,17562
7,17173
8,13837
9,10487
10,7806
11,6052
12,4673
13,3890
14,3097
15,2591
16,2183
17,1849
18,1610
19,1308
20,1234
21,1110
22,1021
23,907
24,843
25,820
26,770
27,737
28,697
29,677
30,635
31,627
32,661
33,654
34,667
35,662
36,648
37,680
38,652
39,708
40,741
41,856
42,812
43,799
44,800
45,689
46,636
47,583
48,410
49,368
50,291
51,262
52,229
53,212
54,174
55,163
56,155
57,135
58,130
59,114
60,123
61,98
62,114
63,109
64,105
65,90
66,109
67,80
68,77
69,76
70,90
71,86
72,61
73,65
74,58
75,61
76,51
77,51
78,48
79,48
80,47
81,38
82,35
83,39
84,20
85,23
86,32
87,23
88,16
89,19
90,28
91,14
92,9
93,7
94,10
95,14
96,10
97,3
98,4
99,8
100,10
