PING 10.0.0.11 (10.0.0.11) 56(84) bytes of data.
64 bytes from 10.0.0.11: icmp_seq=82 ttl=64 time=0.544 ms
64 bytes from 10.0.0.11: icmp_seq=83 ttl=64 time=0.628 ms
64 bytes from 10.0.0.11: icmp_seq=84 ttl=64 time=1.32 ms
64 bytes from 10.0.0.11: icmp_seq=85 ttl=64 time=0.918 ms
64 bytes from 10.0.0.11: icmp_seq=86 ttl=64 time=0.712 ms
64 bytes from 10.0.0.11: icmp_seq=87 ttl=64 time=1.39 ms
64 bytes from 10.0.0.11: icmp_seq=88 ttl=64 time=0.672 ms
64 bytes from 10.0.0.11: icmp_seq=89 ttl=64 time=0.917 ms
64 bytes from 10.0.0.11: icmp_seq=90 ttl=64 time=0.681 ms
64 bytes from 10.0.0.11: icmp_seq=91 ttl=64 time=0.781 ms
64 bytes from 10.0.0.11: icmp_seq=92 ttl=64 time=1.35 ms
64 bytes from 10.0.0.11: icmp_seq=93 ttl=64 time=0.793 ms
64 bytes from 10.0.0.11: icmp_seq=94 ttl=64 time=0.739 ms
64 bytes from 10.0.0.11: icmp_seq=95 ttl=64 time=1.28 ms
64 bytes from 10.0.0.11: icmp_seq=96 ttl=64 time=0.715 ms
64 bytes from 10.0.0.11: icmp_seq=97 ttl=64 time=0.736 ms
64 bytes from 10.0.0.11: icmp_seq=98 ttl=64 time=0.776 ms
64 bytes from 10.0.0.11: icmp_seq=99 ttl=64 time=1.37 ms
64 bytes from 10.0.0.11: icmp_seq=100 ttl=64 time=0.633 ms

--- 10.0.0.11 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 20099ms
rtt min/avg/max/mdev = 0.518/0.854/2.207/0.305 ms
