latency,weight
1,0
2,0
3,20
4,3080
5,14602
6,17512
7,19370
8,21500
9,17664
10,13145
11,8836
12,6318
13,4711
14,3595
15,2727
16,2072
17,1501
18,1225
19,1002
20,790
21,592
22,517
23,424
24,411
25,366
26,268
27,250
28,236
29,222
30,204
31,176
32,162
33,147
34,167
35,148
36,138
37,140
38,111
39,117
40,126
41,110
42,120
43,103
44,103
45,113
46,85
47,71
48,81
49,63
50,54
51,46
52,43
53,56
54,40
55,44
56,45
57,47
58,48
59,34
60,35
61,37
62,36
63,37
64,41
65,37
66,29
67,48
68,38
69,41
70,25
71,36
72,27
73,27
74,27
75,26
76,31
77,23
78,27
79,20
80,19
81,18
82,18
83,15
84,15
85,7
86,10
87,13
88,6
89,6
90,8
91,10
92,10
93,10
94,13
95,8
96,6
97,9
98,3
99,5
100,4
