latency,weight
1,0
2,0
3,5
4,1966
5,15203
6,24842
7,22762
8,17336
9,12276
10,8680
11,6668
12,5137
13,3994
14,3216
15,2600
16,2226
17,1707
18,1416
19,1177
20,989
21,894
22,738
23,765
24,687
25,566
26,555
27,542
28,463
29,436
30,500
31,467
32,458
33,423
34,429
35,478
36,453
37,435
38,439
39,465
40,519
41,545
42,489
43,521
44,492
45,390
46,359
47,296
48,255
49,200
50,197
51,185
52,152
53,140
54,110
55,93
56,96
57,94
58,90
59,87
60,79
61,77
62,74
63,66
64,63
65,69
66,54
67,57
68,55
69,76
70,60
71,55
72,57
73,55
74,41
75,33
76,48
77,45
78,42
79,39
80,19
81,25
82,29
83,35
84,21
85,27
86,13
87,20
88,18
89,20
90,17
91,7
92,8
93,14
94,9
95,13
96,4
97,3
98,6
99,7
100,2
