latency,weight
1,0
2,0
3,3
4,642
5,6178
6,11813
7,12132
8,9889
9,7542
10,5465
11,4198
12,3192
13,2485
14,1935
15,1568
16,1211
17,949
18,779
19,635
20,513
21,484
22,396
23,329
24,312
25,267
26,255
27,241
28,216
29,224
30,187
31,202
32,169
33,162
34,185
35,158
36,165
37,191
38,148
39,160
40,157
41,190
42,200
43,206
44,183
45,176
46,150
47,141
48,124
49,94
50,75
51,67
52,70
53,64
54,51
55,32
56,44
57,37
58,40
59,27
60,30
61,37
62,31
63,26
64,38
65,38
66,33
67,21
68,31
69,33
70,31
71,40
72,28
73,34
74,27
75,39
76,40
77,33
78,21
79,24
80,35
81,22
82,12
83,11
84,15
85,22
86,14
87,10
88,9
89,10
90,17
91,6
92,4
93,5
94,8
95,3
96,4
97,5
98,4
99,0
100,4
