latency,weight
1,0
2,0
3,10
4,2832
5,14093
6,17748
7,18895
8,20397
9,17696
10,13023
11,9334
12,6816
13,4994
14,3704
15,2825
16,2209
17,1592
18,1230
19,950
20,732
21,608
22,487
23,414
24,335
25,282
26,268
27,232
28,252
29,229
30,175
31,170
32,160
33,159
34,153
35,154
36,139
37,139
38,128
39,117
40,121
41,114
42,123
43,104
44,111
45,95
46,105
47,92
48,64
49,60
50,57
51,45
52,54
53,42
54,62
55,47
56,45
57,38
58,32
59,40
60,42
61,43
62,34
63,51
64,36
65,46
66,39
67,42
68,40
69,51
70,40
71,32
72,37
73,29
74,30
75,29
76,30
77,33
78,30
79,22
80,21
81,16
82,20
83,25
84,11
85,10
86,12
87,10
88,9
89,4
90,10
91,6
92,5
93,8
94,7
95,4
96,3
97,4
98,6
99,3
100,2
