mw,sharded,ratio,rep,latency,weight
1,true,1:6,2,24,485
1,true,1:6,2,25,428
1,true,1:6,2,26,337
1,true,1:6,2,27,286
1,true,1:6,2,28,272
1,true,1:6,2,29,254
1,true,1:6,2,30,229
1,true,1:6,2,31,194
1,true,1:6,2,32,204
1,true,1:6,2,33,214
1,true,1:6,2,34,180
1,true,1:6,2,35,164
1,true,1:6,2,36,152
1,true,1:6,2,37,137
1,true,1:6,2,38,130
1,true,1:6,2,39,121
1,true,1:6,2,40,135
1,true,1:6,2,41,131
1,true,1:6,2,42,133
1,true,1:6,2,43,112
1,true,1:6,2,44,116
1,true,1:6,2,45,111
1,true,1:6,2,46,116
1,true,1:6,2,47,100
1,true,1:6,2,48,78
1,true,1:6,2,49,61
1,true,1:6,2,50,73
1,true,1:6,2,51,66
1,true,1:6,2,52,54
1,true,1:6,2,53,62
1,true,1:6,2,54,63
1,true,1:6,2,55,55
1,true,1:6,2,56,57
1,true,1:6,2,57,42
1,true,1:6,2,58,56
1,true,1:6,2,59,48
1,true,1:6,2,60,66
1,true,1:6,2,61,53
1,true,1:6,2,62,49
1,true,1:6,2,63,35
1,true,1:6,2,64,58
1,true,1:6,2,65,57
1,true,1:6,2,66,53
1,true,1:6,2,67,44
1,true,1:6,2,68,46
1,true,1:6,2,69,51
1,true,1:6,2,70,54
1,true,1:6,2,71,44
1,true,1:6,2,72,47
1,true,1:6,2,73,39
1,true,1:6,2,74,38
1,true,1:6,2,75,37
1,true,1:6,2,76,33
1,true,1:6,2,77,32
1,true,1:6,2,78,24
1,true,1:6,2,79,28
1,true,1:6,2,80,20
1,true,1:6,2,81,22
1,true,1:6,2,82,23
1,true,1:6,2,83,17
1,true,1:6,2,84,20
1,true,1:6,2,85,17
1,true,1:6,2,86,10
1,true,1:6,2,87,7
1,true,1:6,2,88,11
1,true,1:6,2,89,3
1,true,1:6,2,90,13
1,true,1:6,2,91,8
1,true,1:6,2,92,13
1,true,1:6,2,93,10
1,true,1:6,2,94,13
1,true,1:6,2,95,9
1,true,1:6,2,96,10
1,true,1:6,2,97,10
1,true,1:6,2,98,6
1,true,1:6,2,99,6
1,true,1:6,2,100,1
2,true,1:6,2,1,0
2,true,1:6,2,2,0
2,true,1:6,2,3,3
2,true,1:6,2,4,1027
2,true,1:6,2,5,10052
2,true,1:6,2,6,18861
2,true,1:6,2,7,19073
2,true,1:6,2,8,15325
2,true,1:6,2,9,11349
2,true,1:6,2,10,8401
2,true,1:6,2,11,6497
2,true,1:6,2,12,4975
2,true,1:6,2,13,3884
2,true,1:6,2,14,3168
2,true,1:6,2,15,2599
2,true,1:6,2,16,2177
2,true,1:6,2,17,1811
2,true,1:6,2,18,1473
2,true,1:6,2,19,1230
2,true,1:6,2,20,1101
2,true,1:6,2,21,977
2,true,1:6,2,22,825
2,true,1:6,2,23,813
2,true,1:6,2,24,764
2,true,1:6,2,25,634
2,true,1:6,2,26,640
2,true,1:6,2,27,522
2,true,1:6,2,28,541
2,true,1:6,2,29,537
2,true,1:6,2,30,544
2,true,1:6,2,31,550
2,true,1:6,2,32,495
2,true,1:6,2,33,532
2,true,1:6,2,34,513
2,true,1:6,2,35,494
2,true,1:6,2,36,492
2,true,1:6,2,37,509
2,true,1:6,2,38,470
2,true,1:6,2,39,561
2,true,1:6,2,40,542
2,true,1:6,2,41,576
2,true,1:6,2,42,597
2,true,1:6,2,43,585
2,true,1:6,2,44,600
2,true,1:6,2,45,567
2,true,1:6,2,46,497
2,true,1:6,2,47,462
2,true,1:6,2,48,369
2,true,1:6,2,49,316
2,true,1:6,2,50,260
2,true,1:6,2,51,248
2,true,1:6,2,52,185
2,true,1:6,2,53,169
2,true,1:6,2,54,154
2,true,1:6,2,55,127
2,true,1:6,2,56,123
2,true,1:6,2,57,109
2,true,1:6,2,58,102
2,true,1:6,2,59,106
2,true,1:6,2,60,104
2,true,1:6,2,61,87
2,true,1:6,2,62,76
2,true,1:6,2,63,84
2,true,1:6,2,64,74
2,true,1:6,2,65,70
2,true,1:6,2,66,61
2,true,1:6,2,67,59
2,true,1:6,2,68,78
2,true,1:6,2,69,56
2,true,1:6,2,70,50
2,true,1:6,2,71,51
2,true,1:6,2,72,52
2,true,1:6,2,73,69
2,true,1:6,2,74,60
2,true,1:6,2,75,61
2,true,1:6,2,76,48
2,true,1:6,2,77,45
2,true,1:6,2,78,47
2,true,1:6,2,79,37
2,true,1:6,2,80,33
2,true,1:6,2,81,35
2,true,1:6,2,82,29
2,true,1:6,2,83,28
2,true,1:6,2,84,23
2,true,1:6,2,85,21
2,true,1:6,2,86,20
2,true,1:6,2,87,17
2,true,1:6,2,88,14
2,true,1:6,2,89,18
2,true,1:6,2,90,10
2,true,1:6,2,91,9
2,true,1:6,2,92,10
2,true,1:6,2,93,16
2,true,1:6,2,94,10
2,true,1:6,2,95,18
2,true,1:6,2,96,16
2,true,1:6,2,97,5
2,true,1:6,2,98,5
2,true,1:6,2,99,4
2,true,1:6,2,100,8
1,true,1:6,3,1,0
1,true,1:6,3,2,0
1,true,1:6,3,3,17
1,true,1:6,3,4,3412
1,true,1:6,3,5,16135
1,true,1:6,3,6,20933
1,true,1:6,3,7,23075
1,true,1:6,3,8,24717
1,true,1:6,3,9,20582
1,true,1:6,3,10,14924
1,true,1:6,3,11,10268
1,true,1:6,3,12,7204
1,true,1:6,3,13,5436
1,true,1:6,3,14,3917
1,true,1:6,3,15,3039
1,true,1:6,3,16,2388
1,true,1:6,3,17,1741
1,true,1:6,3,18,1430
1,true,1:6,3,19,1095
1,true,1:6,3,20,894
1,true,1:6,3,21,726
1,true,1:6,3,22,609
1,true,1:6,3,23,564
1,true,1:6,3,24,462
1,true,1:6,3,25,439
1,true,1:6,3,26,353
1,true,1:6,3,27,326
1,true,1:6,3,28,284
1,true,1:6,3,29,266
1,true,1:6,3,30,249
1,true,1:6,3,31,245
1,true,1:6,3,32,240
1,true,1:6,3,33,230
1,true,1:6,3,34,214
1,true,1:6,3,35,196
1,true,1:6,3,36,198
1,true,1:6,3,37,184
1,true,1:6,3,38,187
1,true,1:6,3,39,193
1,true,1:6,3,40,199
1,true,1:6,3,41,153
1,true,1:6,3,42,179
1,true,1:6,3,43,174
1,true,1:6,3,44,162
1,true,1:6,3,45,166
1,true,1:6,3,46,147
1,true,1:6,3,47,130
1,true,1:6,3,48,110
1,true,1:6,3,49,82
1,true,1:6,3,50,83
1,true,1:6,3,51,85
1,true,1:6,3,52,87
1,true,1:6,3,53,64
1,true,1:6,3,54,55
1,true,1:6,3,55,52
1,true,1:6,3,56,51
1,true,1:6,3,57,62
1,true,1:6,3,58,61
1,true,1:6,3,59,57
1,true,1:6,3,60,54
1,true,1:6,3,61,44
1,true,1:6,3,62,45
1,true,1:6,3,63,49
1,true,1:6,3,64,61
1,true,1:6,3,65,51
1,true,1:6,3,66,48
1,true,1:6,3,67,41
1,true,1:6,3,68,51
1,true,1:6,3,69,45
1,true,1:6,3,70,33
1,true,1:6,3,71,39
1,true,1:6,3,72,39
1,true,1:6,3,73,42
1,true,1:6,3,74,28
1,true,1:6,3,75,36
1,true,1:6,3,76,28
1,true,1:6,3,77,37
1,true,1:6,3,78,26
1,true,1:6,3,79,20
1,true,1:6,3,80,18
1,true,1:6,3,81,18
1,true,1:6,3,82,15
1,true,1:6,3,83,23
1,true,1:6,3,84,25
1,true,1:6,3,85,18
1,true,1:6,3,86,11
1,true,1:6,3,87,16
1,true,1:6,3,88,12
1,true,1:6,3,89,6
1,true,1:6,3,90,6
1,true,1:6,3,91,10
1,true,1:6,3,92,7
1,true,1:6,3,93,10
1,true,1:6,3,94,13
1,true,1:6,3,95,7
1,true,1:6,3,96,7
1,true,1:6,3,97,10
1,true,1:6,3,98,3
1,true,1:6,3,99,2
1,true,1:6,3,100,6
2,true,1:6,3,1,0
2,true,1:6,3,2,0
2,true,1:6,3,3,1
2,true,1:6,3,4,1645
2,true,1:6,3,5,14925
2,true,1:6,3,6,25508
2,true,1:6,3,7,23155
2,true,1:6,3,8,16840
2,true,1:6,3,9,11745
2,true,1:6,3,10,8095
2,true,1:6,3,11,6012
2,true,1:6,3,12,4518
2,true,1:6,3,13,3636
2,true,1:6,3,14,2791
2,true,1:6,3,15,2302
2,true,1:6,3,16,1801
2,true,1:6,3,17,1404
2,true,1:6,3,18,1136
2,true,1:6,3,19,962
2,true,1:6,3,20,840
2,true,1:6,3,21,748
2,true,1:6,3,22,682
2,true,1:6,3,23,575
2,true,1:6,3,24,563
2,true,1:6,3,25,499
2,true,1:6,3,26,440
2,true,1:6,3,27,401
2,true,1:6,3,28,400
2,true,1:6,3,29,396
2,true,1:6,3,30,386
2,true,1:6,3,31,351
2,true,1:6,3,32,349
2,true,1:6,3,33,361
2,true,1:6,3,34,315
2,true,1:6,3,35,310
2,true,1:6,3,36,353
2,true,1:6,3,37,343
2,true,1:6,3,38,286
2,true,1:6,3,39,329
2,true,1:6,3,40,339
2,true,1:6,3,41,340
2,true,1:6,3,42,348
2,true,1:6,3,43,380
2,true,1:6,3,44,357
2,true,1:6,3,45,331
2,true,1:6,3,46,282
2,true,1:6,3,47,275
2,true,1:6,3,48,199
2,true,1:6,3,49,186
2,true,1:6,3,50,151
2,true,1:6,3,51,161
2,true,1:6,3,52,111
2,true,1:6,3,53,112
2,true,1:6,3,54,98
2,true,1:6,3,55,82
2,true,1:6,3,56,82
2,true,1:6,3,57,91
2,true,1:6,3,58,86
2,true,1:6,3,59,90
2,true,1:6,3,60,65
2,true,1:6,3,61,76
2,true,1:6,3,62,60
2,true,1:6,3,63,64
2,true,1:6,3,64,58
2,true,1:6,3,65,62
2,true,1:6,3,66,60
2,true,1:6,3,67,61
2,true,1:6,3,68,48
2,true,1:6,3,69,66
2,true,1:6,3,70,58
2,true,1:6,3,71,53
2,true,1:6,3,72,32
2,true,1:6,3,73,52
2,true,1:6,3,74,51
2,true,1:6,3,75,37
2,true,1:6,3,76,29
2,true,1:6,3,77,32
2,true,1:6,3,78,54
2,true,1:6,3,79,30
2,true,1:6,3,80,30
2,true,1:6,3,81,30
2,true,1:6,3,82,21
2,true,1:6,3,83,23
