client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,4601725.951219511,217035.7689296228
12,64,1:3,6673074.479674797,161034.68500365296
12,64,1:6,8415989.609756097,386993.5626050497
12,64,1:9,8815842.837398374,403985.5849646561
