client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,12649030.495934958,663309.0141597362
12,64,1:3,6419846.593495935,152690.9009711526
12,64,1:6,4165129.6666666665,180146.72020548728
12,64,1:9,3008132.9674796746,126943.04439787136
