client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,14332423.016260162,233610.92666714638
12,64,1:3,14807920.333333334,375567.1201148749
12,64,1:6,15311207.69918699,61481.35338867724
12,64,1:9,15243274.983739838,432164.7671073121
