client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,26615480.21138211,429078.9193308111
12,64,1:3,21046852.699186992,529177.3925757029
12,64,1:6,18831212.349593494,76046.52075203683
12,64,1:9,17569336.162601627,496089.1848504204
