client,worker,ratio,sharded,netthreadTime,queueTime,workerPreTime,memcachedRTT,workerPostTime
12,64,1:1,true,0.015072458166262305,0.13963905009931712,0.02067223798406548,0.9308814509492135,0.01676808441173631
12,64,1:1,false,0.014761241276592946,0.13148873777076628,0.013809622495871943,0.8754852311623885,0.015290676826954267
12,64,1:3,true,0.014884796581359301,0.12210316765958436,0.0202319993352107,0.9060903982383696,0.01634082294613975
12,64,1:3,false,0.014959511905551627,0.15296810308850903,0.014131242419555982,0.9376590990119232,0.015605006277902246
12,64,1:6,true,0.014410518152097753,0.13682305118560517,0.019832959573509012,0.9614275114671867,0.01635894128497536
12,64,1:6,false,0.013985518943242717,0.13481020811133335,0.01305363135272098,0.9076878663084486,0.015352999812304398
12,64,1:9,true,0.014331922966884889,0.14170644470833782,0.019442673553894584,0.9424209927780036,0.01618460619831474
12,64,1:9,false,0.013667678634358563,0.1351288510917795,0.012998424376901132,0.9084381351837915,0.015251979955740033
