client,worker,sharded,cpu_mean,cpu_std
12,64,1:1,7.157398373983739,0.2353442024949015
12,64,1:3,9.09352845528455,0.6895045887902796
12,64,1:6,9.586487804878049,0.4517776429477887
12,64,1:9,9.644918699186993,0.39826658781349267
