client,worker,netrecv_mean,netrecv_std
12,8,27330942.48780488,205340.55647684142
12,16,27049218.926829267,127058.0634023473
12,32,26979361.463414636,295490.60393748
12,64,26607470.902439024,275593.91419994755
24,8,36819116.46341463,226846.59525224104
24,16,38216487.08130082,292924.47141301195
24,32,37573470.52845529,71629.89914600186
24,64,37311390.12195122,331649.52961874014
48,8,41202808.64227643,313717.20386887837
48,16,45877397.959349595,211928.7689022657
48,32,47038277.666666664,161707.6622155211
48,64,46371302.08130082,268424.5744122109
96,8,41815037.146341465,121839.20433577779
96,16,49545888.678219944,1743391.2252875015
96,32,55341107.8699187,223234.40496875788
96,64,55456687.398373984,102275.76540538644
144,8,41990995.02439024,83168.52575770569
144,16,48174737.00813008,171149.72705142616
144,32,56351639.666666664,103123.89558135197
144,64,62417697.0,178097.1999281917
192,8,42951822.203252025,451192.11908141134
192,16,48564583.243902445,130236.81617957201
192,32,56428362.99186992,288266.04538616695
192,64,64849883.39837399,479386.1494372988
