client,worker,read_queueLength, read_queueLength_std,write_queueLength,write_queueLength_std
12,8,1.7690627273842263,0.036001184534852564,1.5755235321685737,0.04010959893838651
12,16,1.770290980522427,0.017641740006582564,1.520294834788677,0.027791332305206598
12,32,1.8047912781385742,0.07806713083983358,1.5010598350898021,0.007487424495490931
12,64,1.7771362929021641,0.027932733309513357,1.460056166492781,0.02852618995751401
24,8,2.2987719637525905,0.005779874343362772,2.0273080886623185,0.0033885256318217935
24,16,2.8743942729449974,0.016898756335482736,2.1021739352911215,0.012048382613962709
24,32,2.5016104483515647,0.49078742291747585,2.063011016512405,0.013601863573358818
24,64,2.854805673237275,0.020985958074195697,1.990637353429672,0.022278776162000264
48,8,11.68646274714566,0.056170470654798084,10.792431552259826,0.053021351982080224
48,16,4.322089125706214,0.023357831021157065,3.541225088400321,0.023734277708651864
48,32,5.311703668484082,0.16147750983660625,3.3857193359807076,0.05302484416767022
48,64,5.388256416819204,0.0900315790076889,3.35973413251709,0.043832586113624034
96,8,35.47378739817966,0.020176160938156912,34.6874987471953,0.04333757032463631
96,16,24.62099210779,0.06310536172666194,23.67602543830115,0.08352535391537588
96,32,7.589567987150711,0.05562310050894884,6.775836728404241,0.10035961878268358
96,64,5.423298115048543,0.008628484039859975,5.598506956513854,0.015862854031959774
144,8,59.06183851687191,0.31317311621368743,58.515259854893635,0.008335265253415734
144,16,48.25103565380209,0.3953050774797084,47.386506270685004,0.031752966204339955
144,32,28.45582428182173,0.07692551484218604,25.265581927503376,0.13660137212955856
144,64,5.593980345621611,0.07802975720259582,7.538287591556852,0.2066277237106413
192,8,82.44959868167399,0.3811541630274588,82.02540627759593,0.2828150163592202
192,16,71.0941029936153,0.09355442788935794,70.85489226958903,0.1858253226308904
192,32,51.3293806446493,0.06306233486943838,48.58185540276592,0.23560051682204386
192,64,19.61659593252769,0.2996357947501651,15.469419639857696,0.047577714789203904
