client,worker,netsend_mean,netsend_std
12,8,12539093.268292682,8122.239396410871
12,16,12545561.528455282,11413.918020919711
12,32,12531545.300813006,4634.4835900533635
12,64,12549348.357723579,19531.181547043794
24,8,12519023.780487806,10288.023285391535
24,16,12563096.861788617,10520.342169021598
24,32,12541799.430894308,21834.48402080992
24,64,12559131.308943091,10291.77210022943
48,8,12539786.081300816,6073.182885231104
48,16,12556805.390243903,10625.227454433987
48,32,12580972.365853658,14009.74242436857
48,64,12563466.62601626,29143.795556810783
96,8,12541262.30081301,15737.291239068836
96,16,12544438.357723577,14721.123056147118
96,32,12569868.495934958,2259.5224206536477
96,64,12578470.268292682,4547.205546004099
144,8,12555691.487804877,12010.233693884884
144,16,12556048.601626016,15050.260404828487
144,32,12581961.24390244,7892.480901195039
144,64,12929316.634146342,18956.639565956084
192,8,12539317.666666666,10592.439206658146
192,16,12544512.552845528,5902.916358355932
192,32,12558762.308943087,15644.17317443947
192,64,12892111.674796747,34171.35076882388
