client,worker,netsend_mean,netsend_std
12,8,144391.36585365853,1575.0843747642348
12,16,144602.8943089431,926.4335591575665
12,32,144840.0406504065,359.59978653724585
12,64,145604.9837398374,416.03060028573844
24,8,148748.1138211382,475.8764481936397
24,16,150725.63414634147,918.2582509011305
24,32,247182.55284552847,137807.41157382898
24,64,150069.71544715448,578.3613001482379
48,8,148782.69918699187,279.954000593457
48,16,149656.32520325202,213.01727870875877
48,32,150175.08943089432,117.02869469090246
48,64,150234.7235772358,263.37869171628876
96,8,148835.0650406504,136.23745226658966
96,16,150441.9024390244,636.9715904648231
96,32,151212.64227642276,125.98453573920052
96,64,152704.1869918699,522.6435710245166
144,8,149445.57723577236,82.29437527075427
144,16,150400.1463414634,188.62001435581038
144,32,151763.95121951218,237.7956279209831
144,64,152612.9756097561,732.3000220051994
192,8,151310.71544715448,115.85880747365277
192,16,151910.21951219512,207.55656277253834
192,32,152564.86991869917,387.2894485107347
192,64,154616.48780487807,3908.102994556539
