client,worker,netrecv_mean,netrecv_std
12,8,443342.78048780485,228.43864765969838
12,16,443571.82113821135,370.17394945990713
12,32,443102.71544715454,232.76862829469752
12,64,444024.3008130081,687.652657529689
24,8,442696.34959349595,371.97163762873276
24,16,444480.5447154472,414.6819873563903
24,32,443558.9105691057,751.7793622675308
24,64,444361.70731707313,385.5540401889175
48,8,443314.6260162601,240.51063096319905
48,16,444003.78048780485,346.91892944175396
48,32,444972.28455284546,485.34678940102185
48,64,444413.0731707317,1059.7798459266135
96,8,443064.1544715447,546.3716057064447
96,16,443234.40650406503,536.1601620289687
96,32,444596.94308943086,132.86933392701593
96,64,445053.1951219512,153.03441321480915
144,8,446086.7154471544,408.01304171598844
144,16,446185.5447154471,592.149101938483
144,32,447657.51219512196,293.9859187181032
144,64,463048.8536585366,2089.8759490579655
192,8,451024.1056910569,331.3605338960702
192,16,451167.5447154472,192.06886234251164
192,32,452339.0243902439,646.6090070599856
192,64,476078.325203252,7035.546717790783
