client,worker,write_rt_mean,write_rt_std,read_rt_mean,read_rt_std
12,8,1.1390303477621817,0.008453613225847713,3.218919771649304,0.023579121866905185
12,16,1.1587762923676383,0.014532041067543149,3.22813454113143,0.007652336157462451
12,32,1.16552863716374,0.01164571152393703,3.242344584861593,0.006285131030434151
12,64,1.169146898330141,0.010783116671904479,3.223598401795742,0.00909533109891315
24,8,1.992318841540072,0.012452053538530532,7.278089233501139,0.008649156416116202
24,16,1.9423796705368745,0.01919307078704572,7.249697533179464,0.012496975652419475
24,32,1.9924887385874284,0.010365574656703872,5.455918951805991,2.4978588337292624
24,64,2.014885033156615,0.008348724056170828,7.235175295676368,0.010778639120988042
48,8,4.1944150289643325,0.01584614358677599,15.333780776063547,0.008624919195372928
48,16,3.660642984041116,0.004114394112706483,15.253290194995648,0.007149498781158959
48,32,3.5297695863894227,0.005215804051475195,15.100322917199643,0.025081796846295728
48,64,3.5705713558777763,0.01584823860504685,15.127455368327775,0.020870424607927273
96,8,9.10055879428477,0.030277524232450597,31.537299303657182,0.04409341574112899
96,16,7.755122393619117,0.029574796152918015,31.512023414979243,0.07617348081142511
96,32,6.185908318937021,0.038886038818484195,31.26253719153314,0.025669151983298017
96,64,6.112288564065676,0.019858076759287836,31.231267516605985,0.056967974763796496
144,8,13.980641547779383,0.05738702945540091,46.995510464886934,0.24316915206443346
144,16,12.048415973859505,0.04149328374231185,46.916567708798745,0.3528320663879793
144,32,9.803013466396168,0.047708230271856944,46.85068375333767,0.1433484536330239
144,64,8.19219008531893,0.128008508018733,46.36746981611697,0.5268468568581848
192,8,18.403514936564545,0.2415912252506978,61.020238123564155,0.3004807416323049
192,16,16.120704347038416,0.05061958265431714,60.54895841897157,0.05384759063913289
192,32,13.39185644563038,0.02999085768193863,60.474005096709675,0.11200573484534204
192,64,10.897372146389259,0.02065362446276127,58.89316132967712,1.673489314954167
