client,worker,read_netthreadTime,read_queueTime,read_workerPreTime,read_memcachedRTT,read_workerPostTime,write_netthreadTime,write_queueTime,write_workerPreTime,write_memcachedRTT,write_workerPostTime
12,8,0.013408258238172002,0.11635623210060013,0.0119767412279652,3.061942952322852,0.015235587759714774,0.022833891121822505,0.10241445681678656,0.011956976393700906,0.9711595674398602,0.030665455990011622
12,16,0.013580456065289591,0.11351857396247116,0.012716278127167755,3.0729957981818825,0.015323434794619112,0.02395327318465776,0.10269200320679744,0.012048377446195297,0.9891393278104857,0.03094331071950195
12,32,0.013873207037918764,0.12179740000364735,0.01304149251865902,3.078304720162477,0.015327765138890614,0.02418578459524466,0.10016227985260469,0.012528256263664468,0.9966445377274739,0.03200777872475236
12,64,0.013628608600354924,0.12011060897806043,0.01395243622032897,3.060062099865037,0.015844648131960768,0.024685544493310885,0.10022373430566896,0.012997044906471253,0.9988160287903245,0.032424545834365194
24,8,0.01384376114287319,2.1660689695250626,0.01294657132872899,5.069857372230851,0.015372559273623429,0.025185436064918087,0.42328308510526497,0.013314379245081451,1.4933119789342812,0.03722396219052632
24,16,0.013998342745457741,0.17089060765098774,0.013718803618936177,7.035414063161951,0.015675716002131697,0.02509285446714284,0.1353481387460733,0.014419992094609745,1.7299017588471035,0.03761692638194472
24,32,0.013356195941690643,0.14679391983182916,0.013202918241842374,5.2666992435956566,0.015866674194972483,0.02483782662688688,0.13214108057714055,0.014368609445144065,1.7836266044578102,0.03751461748044643
24,64,0.014112090951236977,0.17765547702409212,0.014826162770987623,7.011867461209438,0.016714103720613497,0.026624484325212527,0.13111758155752248,0.0158282009878041,1.8011982099955084,0.04011655629056688
48,8,0.012955283614406269,9.92370236684549,0.016876948306360707,5.364269589975238,0.015976587322051598,0.025108893622148756,2.5059784874876985,0.013694327416350627,1.6067405887293933,0.04289273170874212
48,16,0.015283454608573869,4.774178137824251,0.020107438851650904,10.427417205118472,0.016303958592700663,0.02771000195403656,0.9121769315612619,0.01997757238539072,2.648639933950428,0.052138544189998894
48,32,0.01586665315512674,0.3030463483178248,0.01565452150524593,14.747761613905068,0.017993780316377463,0.02890342294724967,0.2139978760011061,0.020914649742739006,3.2148128140836376,0.05114082361469031
48,64,0.01604346951501307,0.3227249963388022,0.016238550334518886,14.75428826705243,0.01816008508701072,0.030092168464677483,0.21977609704097834,0.02175458539474592,3.2460967257128672,0.05285177926450729
96,8,0.014504277616150038,26.12404477234846,0.01796626525232373,5.36448040466756,0.01630358377269066,0.023930191281137214,7.432668439663092,0.012640464341931862,1.5903602281945695,0.040959470804041435
96,16,0.013406718050714706,20.683369140412974,0.027844166104494094,10.770025506428368,0.017377883982694808,0.024159577594897008,4.879776593858784,0.020349677582131524,2.7774376148510225,0.053398929732281615
96,32,0.014877539755128288,9.908604348754507,0.03679490410690705,21.28456041118733,0.017699987729269628,0.0374818790612215,1.5883535934211537,0.037548254573140115,4.4377892560414,0.08473533584010683
96,64,0.017469536011906234,0.33172340845533005,0.01575991678199007,30.848294544679504,0.018020110677256857,0.03904488469232723,0.3428236979801844,0.044708686863403714,5.603501182034449,0.08221011249531184
144,8,0.019736077950444363,41.65485617728363,0.016391240857514772,5.2881640795236935,0.016362889271655263,0.02416670433920884,12.318666052303799,0.013557394467877014,1.5825177469788638,0.04173364968963265
144,16,0.018528439957867588,36.245150112310974,0.02955058401129262,10.605856208231456,0.01748236428714929,0.0241938983007509,9.162614375319436,0.019914606336718804,2.7890349656160907,0.05265812828651087
144,32,0.016505372356242526,25.539754343059116,0.04965538025275577,21.226050181986682,0.018718475682866196,0.03397019610114887,4.90586926611935,0.03628884232758351,4.7396784042323326,0.08720675761575271
144,64,0.018828333419851045,4.867059067469085,0.022081265595382593,41.44058754010855,0.018913609524099685,0.043330248926867786,0.8641937890021758,0.06589385203759768,7.106865544332796,0.11190665101949393
192,8,0.02042080822453503,55.83586881503973,0.018627094495478468,5.1281857936431425,0.017135612161273014,0.024209439129635645,16.77890618769465,0.013054092173095755,1.5455539316842353,0.04179128588293283
192,16,0.01883163893188079,50.26133264195098,0.02620664460363085,10.225600209676523,0.016987283808558858,0.025383770541185218,13.263842898700126,0.021656290504026926,2.7544881370209917,0.05533325027208414
192,32,0.017028147272911714,39.90516419707664,0.05131838712252032,20.482274910221136,0.018219455016473252,0.033022164710497875,8.498772539908657,0.03658679946386839,4.73786541796517,0.0856095235821861
192,64,0.01590388096834625,18.885368381646174,0.0429695413221168,39.931245180467144,0.01767434527334064,0.042150114799767525,2.76562511336675,0.054890393487878164,7.922647585325726,0.11205893940913896
