client,worker,netsend_mean,netsend_std
12,8,8478456.398373984,7264.529787238499
12,16,8412307.528455285,51796.92282321901
12,32,8345773.260162602,86625.3273242702
12,64,8368725.463414635,81769.25594553136
24,8,11761667.975609755,112456.68102838709
24,16,12463367.260162601,108738.65009859783
24,32,12201707.520325204,27035.397597962587
24,64,12152757.260162601,128168.9883153421
48,8,13351069.032520324,125805.13853617242
48,16,15127385.552845528,57945.537350807055
48,32,15392551.747967482,136443.00210538672
48,64,15268999.30081301,92727.11815013172
96,8,13523740.390243903,44835.90599090642
96,16,15706464.528455285,28991.630721698646
96,32,17985575.780487806,84497.97244052152
96,64,18198772.089430895,116589.82436221246
144,8,13578167.447154472,23646.891678377677
144,16,15637130.609756097,48233.8372407064
144,32,18254792.463414636,56874.45352471644
144,64,20102589.63414634,79549.4991374098
192,8,13898085.845528454,155593.69815109012
192,16,15759037.943089431,44614.64266953141
192,32,18346484.845528454,80268.54260308827
192,64,21127496.56910569,167931.16508983713
