client,worker,netrecv_mean,netrecv_std
12,8,284974.53658536583,220.73587473044284
12,16,282669.35772357724,1754.3266728541528
12,32,280522.98373983736,2870.277309661549
12,64,281237.7317073171,2719.250756765134
24,8,394655.918699187,3524.741889303649
24,16,417982.6178861789,3647.874163792594
24,32,409155.6097560975,985.1256978131112
24,64,407520.81300813006,4345.713289869987
48,8,447527.34959349595,4199.388115458339
48,16,506816.65853658534,1880.8145365875562
48,32,515586.88617886184,4572.538939657371
48,64,511547.5853658537,3152.2582717440437
96,8,453396.47967479675,1494.7964230471919
96,16,526093.1544715447,942.3524767809141
96,32,602156.9268292683,2814.6595903515513
96,64,609330.4065040651,3821.0427960583297
144,8,455115.3739837399,881.9784706770346
144,16,524040.8861788618,1620.1887891862627
144,32,611189.4471544715,1873.7011665693933
144,64,672768.8292682926,2624.334565326464
192,8,465755.162601626,5189.811518847627
192,16,527896.7398373984,1477.4756894723128
192,32,614252.0569105691,2670.641891004363
192,64,706874.9430894308,5605.784032303455
