client,worker,netsend_mean,netsend_std
12,8,6618995.87804878,33835.639288405975
12,16,6660976.918699187,42007.45553007439
12,32,6693488.365853659,31495.136933666006
12,64,6664572.81300813,39974.08614812228
24,8,6416394.796747968,38439.17433802598
24,16,6442125.211382113,14253.64042092384
24,32,6387071.731707317,67158.74260063365
24,64,6427016.772357724,32449.813684555258
48,8,6480302.365853659,29014.30369413409
48,16,6415061.05691057,26320.73924787383
48,32,6418147.926829268,6556.69674801969
48,64,6405013.528455284,19174.00933815533
96,8,6433674.308943089,34065.33260085641
96,16,6392399.138211382,264082.7908618759
96,32,6436186.699186992,12496.09819223086
96,64,6438893.048780489,7820.483568101525
144,8,6532871.235772357,62965.134630911074
144,16,6554894.040650406,49397.35769587972
144,32,6460967.195121951,38770.67312614991
144,64,6441589.065040651,20764.255210363997
192,8,6509754.1544715455,17191.45332560617
192,16,6643684.382113821,52439.84825628615
192,32,6464929.081300813,9182.039934310938
192,64,6555703.520325203,20008.438323538947
