client,worker,netsend_mean,netsend_std
12,8,14257624.593495935,169407.77451335685
12,16,14139167.593495935,197697.17615938254
12,32,14048043.30081301,195844.6651706241
12,64,13584039.82113821,373322.26609679026
24,8,18546003.292682927,395885.59363389027
24,16,19161434.69105691,120311.60924442655
24,32,19015443.707317073,64591.30297212001
24,64,18842254.235772356,132558.5401963749
48,8,20979247.31707317,395590.7825497589
48,16,23100289.43902439,317935.15223965474
48,32,23701988.967479676,78083.30439731182
48,64,23170498.016260162,302317.0283085908
96,8,21245686.780487806,170164.6821333054
96,16,24452734.032520324,153578.89424705954
96,32,27765961.17073171,482022.967653874
96,64,28003184.13821138,225453.2244100565
144,8,21304711.796747968,90587.50437219355
144,16,24413899.04065041,106774.4481009448
144,32,28405181.097560972,43332.6158484764
144,64,31580568.894308943,37856.80614640214
192,8,21445185.300813008,343846.2997166494
192,16,24432490.089430895,30837.899973935815
192,32,28837487.77235772,86200.84427714907
192,64,33051124.64227642,278960.8979253284
