client,netsend_mean,netsend_std
6,12500089.825136611,5807.630021081468
24,12534133.256830601,15105.114996588376
48,12529880.486338796,5432.073495400679
96,12537739.781420767,8302.321569080472
144,13010035.639344262,21208.28332056068
192,13456215.273224043,33780.923338023225
240,13949518.568306012,40570.60130017386
