client,netrecv_mean,netrecv_std
6,28007879.16393443,516480.7674639356
24,42052361.68306011,863809.8492979403
48,49863526.61202186,445382.7184806674
96,60285493.98907104,488743.7588456014
144,65254531.97267759,1287469.7673211175
192,65491252.67759564,1239799.4321134982
240,65030802.17486339,1699089.1258061002
