client,mw,sharded,ratio,latency,weight
1,1,true,1:6,1,0
1,1,true,1:6,2,0
1,1,true,1:6,3,0
1,1,true,1:6,4,0
1,1,true,1:6,5,0
1,1,true,1:6,6,0
1,1,true,1:6,7,0
1,1,true,1:6,8,0.08
1,1,true,1:6,9,0.8400000000000003
1,1,true,1:6,10,8.96
1,1,true,1:6,11,15.540000000000003
1,1,true,1:6,12,23.32
1,1,true,1:6,13,27.409999999999997
1,1,true,1:6,14,28.940000000000005
1,1,true,1:6,15,27.760000000000005
1,1,true,1:6,16,24.54999999999999
1,1,true,1:6,17,21.17
1,1,true,1:6,18,17.580000000000013
1,1,true,1:6,19,15.519999999999982
1,1,true,1:6,20,12.750000000000014
1,1,true,1:6,21,10.58999999999999
1,1,true,1:6,22,8.569999999999993
1,1,true,1:6,23,7.030000000000001
1,1,true,1:6,24,5.710000000000008
1,1,true,1:6,25,4.97999999999999
1,1,true,1:6,26,4.190000000000012
1,1,true,1:6,27,3.3999999999999915
1,1,true,1:6,28,2.75
1,1,true,1:6,29,2.200000000000003
1,1,true,1:6,30,2.1700000000000017
1,1,true,1:6,31,1.6999999999999886
1,1,true,1:6,32,1.5000000000000142
1,1,true,1:6,33,1.269999999999996
1,1,true,1:6,34,1.2700000000000102
1,1,true,1:6,35,0.9799999999999898
1,1,true,1:6,36,0.960000000000008
1,1,true,1:6,37,0.980000000000004
1,1,true,1:6,38,0.769999999999996
1,1,true,1:6,39,0.6400000000000006
1,1,true,1:6,40,0.6299999999999955
1,1,true,1:6,41,0.5999999999999943
1,1,true,1:6,42,0.5499999999999972
1,1,true,1:6,43,0.44000000000001194
1,1,true,1:6,44,0.3999999999999915
1,1,true,1:6,45,0.37000000000000455
1,1,true,1:6,46,0.3299999999999983
1,1,true,1:6,47,0.4199999999999875
1,1,true,1:6,48,0.3400000000000176
1,1,true,1:6,49,0.37999999999999545
1,1,true,1:6,50,0.30000000000001137
1,1,true,1:6,51,0.36999999999999034
1,1,true,1:6,52,0.3299999999999983
1,1,true,1:6,53,0.2799999999999869
1,1,true,1:6,54,0.37000000000000455
1,1,true,1:6,55,0.2500000000000142
1,1,true,1:6,56,0.30999999999998806
1,1,true,1:6,57,0.2500000000000142
1,1,true,1:6,58,0.2599999999999909
1,1,true,1:6,59,0.23000000000000398
1,1,true,1:6,60,0.21999999999999886
1,1,true,1:6,61,0.23000000000000398
1,1,true,1:6,62,0.269999999999996
1,1,true,1:6,63,0.25
1,1,true,1:6,64,0.23000000000000398
1,1,true,1:6,65,0.20999999999999375
1,1,true,1:6,66,0.2300000000000182
1,1,true,1:6,67,0.23999999999996646
1,1,true,1:6,68,0.2300000000000182
1,1,true,1:6,69,0.29999999999999716
1,1,true,1:6,70,0.20999999999999375
1,1,true,1:6,71,0.20000000000000284
1,1,true,1:6,72,0.2600000000000193
1,1,true,1:6,73,0.18999999999999773
1,1,true,1:6,74,0.1599999999999966
1,1,true,1:6,75,0.18999999999998352
1,1,true,1:6,76,0.22000000000001307
1,1,true,1:6,77,0.18999999999999773
1,1,true,1:6,78,0.14000000000000057
1,1,true,1:6,79,0.1700000000000017
1,1,true,1:6,80,0.1699999999999875
1,1,true,1:6,81,0.15000000000000568
1,1,true,1:6,82,0.12000000000000455
1,1,true,1:6,83,0.15000000000000568
1,1,true,1:6,84,0.10999999999998522
1,1,true,1:6,85,0.09000000000001762
1,1,true,1:6,86,0.10999999999999943
1,1,true,1:6,87,0.10999999999998522
1,1,true,1:6,88,0.09000000000001762
1,1,true,1:6,89,0.05999999999998806
1,1,true,1:6,90,0.04000000000000625
1,1,true,1:6,91,0.03999999999999204
1,1,true,1:6,92,0.03999999999999204
1,1,true,1:6,93,0.04000000000000625
1,1,true,1:6,94,0.020000000000010232
1,1,true,1:6,95,0.060000000000002274
1,1,true,1:6,96,0.03999999999999204
1,1,true,1:6,97,0.030000000000001137
1,1,true,1:6,98,0.009999999999990905
1,1,true,1:6,99,0.009999999999990905
1,1,true,1:6,100,0.1599999999999966
2,1,true,1:6,1,0
2,1,true,1:6,2,0
2,1,true,1:6,3,0
2,1,true,1:6,4,0
2,1,true,1:6,5,0
2,1,true,1:6,6,0
