client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,4240055.454545455,54572.30715106921
12,64,1:3,2395526.818181818,13469.031517597634
12,64,1:6,1549420.8484848486,6962.852783009981
12,64,1:9,1162085.0606060605,9781.61706572944
