client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,25131724.757575754,496740.45639666804
12,64,1:3,19537957.24242424,330450.33868000715
12,64,1:6,17184568.454545453,160779.73690360706
12,64,1:9,16147920.818181818,64939.75276436211
