client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,4291749.424242424,39712.543886204345
12,64,1:3,2408149.727272727,43298.749125011
12,64,1:6,1551021.5454545456,16802.93156650501
12,64,1:9,1189237.1515151514,2916.5384330724364
