client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,4413441.636363637,40953.700555910145
12,64,1:3,6800573.969696969,122478.42125359559
12,64,1:6,7942037.303030302,87433.79403126448
12,64,1:9,8371306.272727273,22258.632731591933
