client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,23913374.03030303,452263.03733103286
12,64,1:3,19311631.393939395,230150.03300394202
12,64,1:6,17195169.03030303,109078.19841964605
12,64,1:9,15770084.818181818,141360.48250963
