client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,4403353.780487805,232734.75232263972
12,64,1:3,7315010.967479675,227933.71319442545
12,64,1:6,7954119.227642275,265858.9674317426
12,64,1:9,8669483.455284553,444282.931926494
