client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,14389244.959349593,518931.1337557339
12,64,1:3,15069557.959349593,86075.8505967184
12,64,1:6,15557427.51219512,86994.73511847234
12,64,1:9,15557347.723577237,183675.64748296022
