client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,4332979.617886179,224029.77894189884
12,64,1:3,6822764.967479675,211970.92951908187
12,64,1:6,7389946.528455284,211571.78948071948
12,64,1:9,7923979.699186992,438150.85059567506
