latency,weight
1,0
2,0
3,0
4,2208
5,37345
6,73963
7,57669
8,33504
9,19982
10,13059
11,9239
12,6922
13,5231
14,4023
15,3214
16,2417
17,2024
18,1530
19,1303
20,1136
21,904
22,849
23,712
24,645
25,599
26,511
27,524
28,422
29,418
30,340
31,355
32,300
33,308
34,319
35,290
36,243
37,242
38,244
39,234
40,225
41,215
42,200
43,165
44,182
45,181
46,161
47,170
48,150
49,147
50,132
51,145
52,144
53,145
54,110
55,122
56,126
57,104
58,125
59,103
60,117
61,103
62,103
63,108
64,80
65,81
66,85
67,60
68,79
69,65
70,58
71,51
72,37
73,36
74,27
75,33
76,37
77,25
78,38
79,29
80,37
81,34
82,22
83,26
84,26
85,21
86,14
87,19
88,14
89,22
90,22
91,14
92,13
93,15
94,15
95,13
96,8
97,8
98,7
99,8
100,16
