latency,weight
1,0
2,0
3,0
4,193
5,8145
6,35140
7,46866
8,36952
9,23957
10,15131
11,10097
12,7067
13,4975
14,3890
15,2992
16,2261
17,1827
18,1520
19,1145
20,970
21,857
22,721
23,669
24,597
25,563
26,455
27,421
28,364
29,367
30,320
31,295
32,262
33,251
34,223
35,211
36,185
37,213
38,179
39,179
40,181
41,150
42,156
43,149
44,140
45,141
46,121
47,130
48,122
49,124
50,127
51,109
52,112
53,90
54,93
55,97
56,86
57,99
58,83
59,81
60,76
61,60
62,57
63,61
64,57
65,53
66,57
67,53
68,35
69,31
70,43
71,29
72,28
73,30
74,26
75,33
76,22
77,19
78,16
79,26
80,27
81,18
82,19
83,25
84,21
85,12
86,10
87,15
88,14
89,14
90,18
91,9
92,9
93,8
94,11
95,9
96,7
97,1
98,5
99,6
100,5
