latency,weight
1,0
2,0
3,0
4,1167
5,27118
6,67014
7,59650
8,36505
9,21709
10,14106
11,9715
12,7134
13,5465
14,4172
15,3329
16,2647
17,2123
18,1782
19,1367
20,1217
21,1029
22,969
23,832
24,658
25,661
26,599
27,518
28,538
29,472
30,384
31,413
32,348
33,357
34,303
35,305
36,277
37,280
38,267
39,238
40,232
41,241
42,254
43,215
44,202
45,198
46,190
47,207
48,182
49,159
50,157
51,142
52,134
53,143
54,145
55,123
56,128
57,125
58,120
59,103
60,118
61,115
62,98
63,105
64,98
65,94
66,74
67,70
68,65
69,71
70,52
71,40
72,61
73,42
74,46
75,47
76,44
77,27
78,29
79,34
80,27
81,45
82,27
83,18
84,24
85,32
86,15
87,21
88,33
89,20
90,17
91,20
92,21
93,21
94,12
95,20
96,16
97,16
98,12
99,12
100,8
