client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,5503701.422764228,131342.724402811
12,64,1:3,4340065.406504065,266001.3213711366
12,64,1:6,2141574.764227642,1356.9998485877632
12,64,1:9,1449703.7235772358,8096.419715695601
