client,worker,sharded,netsend_mean,netsend_std
12,64,1:1,30231252.357723575,116991.59327940868
12,64,1:3,33672481.682926826,716455.2896778211
12,64,1:6,27074401.674796745,101438.88551800537
12,64,1:9,24044580.21138211,35040.931610094245
