client,mw,sharded,ratio,latency,weight
1,1,true,1:6,1,0
1,1,true,1:6,2,0
1,1,true,1:6,3,0
1,1,true,1:6,4,0
1,1,true,1:6,5,0
1,1,true,1:6,6,0
1,1,true,1:6,7,0
1,1,true,1:6,8,0
1,1,true,1:6,9,0
1,1,true,1:6,10,0.25
1,1,true,1:6,11,1.16
1,1,true,1:6,12,3.66
1,1,true,1:6,13,7.02
1,1,true,1:6,14,11.499999999999998
1,1,true,1:6,15,16.27
1,1,true,1:6,16,18.47
1,1,true,1:6,17,19.300000000000004
1,1,true,1:6,18,18.579999999999995
1,1,true,1:6,19,16.650000000000006
1,1,true,1:6,20,13.009999999999998
1,1,true,1:6,21,11.04
1,1,true,1:6,22,8.130000000000003
1,1,true,1:6,23,6.600000000000001
1,1,true,1:6,24,5.079999999999998
1,1,true,1:6,25,3.729999999999997
1,1,true,1:6,26,3.1300000000000026
1,1,true,1:6,27,2.8100000000000023
1,1,true,1:6,28,2.2099999999999937
1,1,true,1:6,29,1.9500000000000028
1,1,true,1:6,30,1.6600000000000037
1,1,true,1:6,31,1.5200000000000031
1,1,true,1:6,32,1.029999999999994
1,1,true,1:6,33,1.1900000000000048
1,1,true,1:6,34,1.269999999999996
1,1,true,1:6,35,1.009999999999998
1,1,true,1:6,36,0.980000000000004
1,1,true,1:6,37,0.9200000000000017
1,1,true,1:6,38,0.8599999999999994
1,1,true,1:6,39,0.7299999999999969
1,1,true,1:6,40,0.9200000000000017
1,1,true,1:6,41,0.990000000000002
1,1,true,1:6,42,0.7899999999999991
1,1,true,1:6,43,0.8599999999999994
1,1,true,1:6,44,0.6899999999999977
1,1,true,1:6,45,0.9099999999999966
1,1,true,1:6,46,0.9000000000000057
1,1,true,1:6,47,0.8500000000000014
1,1,true,1:6,48,0.990000000000002
1,1,true,1:6,49,0.769999999999996
1,1,true,1:6,50,0.8099999999999952
1,1,true,1:6,51,0.8500000000000085
1,1,true,1:6,52,0.8499999999999872
1,1,true,1:6,53,1.0800000000000125
1,1,true,1:6,54,0.9599999999999937
1,1,true,1:6,55,1.079999999999984
1,1,true,1:6,56,0.8200000000000074
1,1,true,1:6,57,0.8800000000000097
1,1,true,1:6,58,1.059999999999988
1,1,true,1:6,59,0.8800000000000097
1,1,true,1:6,60,0.980000000000004
1,1,true,1:6,61,0.8399999999999892
1,1,true,1:6,62,0.8900000000000148
1,1,true,1:6,63,1.0
1,1,true,1:6,64,0.8499999999999943
1,1,true,1:6,65,0.8100000000000023
1,1,true,1:6,66,1.019999999999996
1,1,true,1:6,67,0.7999999999999972
1,1,true,1:6,68,0.9399999999999977
1,1,true,1:6,69,0.7999999999999972
1,1,true,1:6,70,0.7000000000000028
1,1,true,1:6,71,0.9500000000000028
1,1,true,1:6,72,0.8499999999999943
1,1,true,1:6,73,0.8800000000000097
1,1,true,1:6,74,0.9299999999999926
1,1,true,1:6,75,0.8900000000000148
1,1,true,1:6,76,0.9399999999999835
1,1,true,1:6,77,0.8500000000000085
1,1,true,1:6,78,0.8900000000000006
1,1,true,1:6,79,0.8700000000000045
1,1,true,1:6,80,1.0300000000000011
1,1,true,1:6,81,0.9500000000000028
1,1,true,1:6,82,0.9499999999999886
1,1,true,1:6,83,1.009999999999991
1,1,true,1:6,84,0.9200000000000301
1,1,true,1:6,85,0.8999999999999915
1,1,true,1:6,86,0.9399999999999835
1,1,true,1:6,87,0.8500000000000085
1,1,true,1:6,88,0.9200000000000017
1,1,true,1:6,89,0.8199999999999932
1,1,true,1:6,90,1.0300000000000011
1,1,true,1:6,91,0.9200000000000017
1,1,true,1:6,92,1.009999999999991
1,1,true,1:6,93,0.9900000000000091
1,1,true,1:6,94,1.2000000000000028
1,1,true,1:6,95,1.1599999999999966
1,1,true,1:6,96,1.2900000000000063
1,1,true,1:6,97,1.480000000000004
1,1,true,1:6,98,1.3899999999999864
1,1,true,1:6,99,1.5600000000000023
1,1,true,1:6,100,1.5600000000000023
2,1,true,1:6,1,0
2,1,true,1:6,2,0
2,1,true,1:6,3,0
2,1,true,1:6,4,0
2,1,true,1:6,5,0
2,1,true,1:6,6,0
2,1,true,1:6,7,0
2,1,true,1:6,8,0
