client,worker,cpu_mean,cpu_std
6,8,11.162906103286387,0.27563292150423213
6,16,11.190802816901408,0.16280948006869111
6,32,12.370460093896712,0.3988660751613403
6,64,15.10362441314554,0.6075407297651135
24,8,30.110910798122063,0.42049787928826454
24,16,28.557356807511738,0.6029785580634436
24,32,29.00188732394366,0.6598994715638572
24,64,30.874661971830978,0.7548036083677098
48,8,28.34447887323944,0.48263438009761883
48,16,34.640356807511736,2.0250105204482596
48,32,37.958793427230056,0.8559679199529278
48,64,40.661676056338024,1.5215484063500937
96,8,27.842737089201876,0.9904148844644957
96,16,31.41154929577465,0.39767056890439206
96,32,45.36370422535211,0.8001133138191993
96,64,58.620262910798125,1.7412690285650205
144,8,25.448586854460093,0.6352053241171111
144,16,29.96554929577464,0.5410642539288532
144,32,46.16291549295775,0.7085749897981327
144,64,65.27767605633804,0.7777251340821092
192,8,26.645779342723007,0.7025674637409312
192,16,30.585985915492955,0.5048202613445364
192,32,39.85542253521127,0.7275116223238525
192,64,63.757751173708925,1.0056247396609903
288,8,26.918370892018775,0.623918648735403
288,16,30.643605633802817,0.5754648781293686
288,32,40.472727699530516,0.492877144897273
288,64,62.51522535211268,1.8216210658126948
