client,worker,cpu_mean,cpu_std
6,8,4.901835680751175,0.06237318214479131
6,16,4.69217370892019,0.1688581378883343
6,32,4.771840375586856,0.3067520078678073
6,64,5.104333333333334,0.2768260105711213
24,8,7.988830985915494,0.37148326535462783
24,16,8.288300469483566,0.3991622739844894
24,32,8.295267605633803,0.14915015131972284
24,64,7.885281690140844,0.22366068074744527
48,8,8.859507042253522,0.13455765190986343
48,16,10.040192488262909,0.825497464674965
48,32,9.502718309859155,0.11570538748241292
48,64,9.157338028169013,0.12255973905936217
96,8,8.817460093896713,0.03350959349731954
96,16,9.095408450704225,0.07034634282006684
96,32,10.85170422535211,0.25952967419674017
96,64,10.83246948356807,0.20301567278886348
144,8,8.576769953051643,0.34038400125587664
144,16,9.285633802816902,0.18887928731043865
144,32,11.502647887323944,0.22797757574953173
144,64,11.90451643192488,0.05564347967583361
192,8,8.871441314553989,0.11864762947181529
192,16,9.458497652582158,0.10966503514938666
192,32,11.03553051643192,0.17499855237244502
192,64,12.193295774647886,0.1969044308539107
288,8,8.57850704225352,0.16350325750649322
288,16,8.622098591549296,0.27862173702018295
288,32,10.667375586854462,0.5578061992418379
288,64,13.136384976525823,0.11344282783809531
