client,worker,write_rt_mean,write_rt_std
6,8,1.17513666727298,0.019506801214231175
6,16,1.157673473296041,0.030992819819637647
6,32,1.1603640245815812,0.02717231136724541
6,64,1.1326845786192459,0.01549761273535904
24,8,2.280990240151676,0.021343289225295124
24,16,2.1873029791454783,0.020707935276232492
24,32,2.230066375512399,0.015132139717947645
24,64,2.234401206954748,0.01040250747600192
48,8,4.696298771764256,0.03499957350520144
48,16,3.4825635409402422,0.5084621313483771
48,32,3.6052511437352606,0.00831475007933818
48,64,3.641451246528282,0.014806495603834107
96,8,9.897347102956662,0.06775793439956455
96,16,8.271875996541889,0.00231495043835046
96,32,6.251600567263519,0.02835203723887827
96,64,6.007901997501603,0.03416612880917638
144,8,15.370357328836471,0.16794716255109024
144,16,12.773642823247874,0.05767017022629141
144,32,10.029872661269684,0.06606392631750856
144,64,8.033575073412882,0.05597138420697913
192,8,20.44522419577014,0.16467240524983642
192,16,17.234328880119527,0.07691110798017936
192,32,13.639156999250615,0.042642084236933796
192,64,10.741399156925567,0.028854814684550718
288,8,30.1575788397984,0.749286821621121
288,16,25.56055693439112,0.4100346842875288
288,32,20.274210465454708,0.6170670867611724
288,64,16.43421209569401,0.26230527844611473
