latency,weight
1,0
2,0
3,0
4,0
5,37
6,590
7,2811
8,6246
9,7867
10,6340
11,4245
12,2480
13,1663
14,1272
15,1013
16,797
17,658
18,594
19,460
20,373
21,308
22,285
23,207
24,194
25,166
26,149
27,131
28,104
29,88
30,95
31,59
32,64
33,66
34,60
35,50
36,37
37,37
38,35
39,33
40,43
41,27
42,25
43,20
44,18
45,20
46,16
47,13
48,14
49,18
50,13
51,11
52,16
53,26
54,16
55,16
56,11
57,9
58,11
59,11
60,12
61,7
62,8
63,11
64,4
65,8
66,13
67,8
68,4
69,5
70,13
71,6
72,5
73,4
74,3
75,3
76,0
77,1
78,5
79,2
80,3
81,6
82,1
83,2
84,1
85,2
86,1
87,1
88,4
89,5
90,5
91,0
92,2
93,1
94,1
95,0
96,2
97,1
98,0
99,2
100,0
