latency,weight
1,0
2,0
3,0
4,2003
5,35924
6,77274
7,63779
8,36386
9,21248
10,13709
11,9361
12,6842
13,5282
14,3991
15,3091
16,2478
17,2001
18,1581
19,1306
20,1118
21,970
22,873
23,780
24,680
25,632
26,562
27,496
28,497
29,386
30,404
31,366
32,328
33,326
34,314
35,267
36,280
37,272
38,265
39,261
40,200
41,223
42,216
43,168
44,202
45,213
46,182
47,189
48,168
49,154
50,141
51,149
52,153
53,136
54,135
55,121
56,117
57,151
58,127
59,116
60,106
61,95
62,77
63,101
64,106
65,83
66,77
67,59
68,71
69,57
70,47
71,65
72,37
73,58
74,45
75,38
76,40
77,35
78,28
79,21
80,27
81,31
82,25
83,25
84,22
85,23
86,20
87,21
88,20
89,21
90,22
91,11
92,23
93,14
94,24
95,12
96,15
97,8
98,8
99,17
100,8
