latency,weight
1,0
2,0
3,0
4,57
5,2812
6,15848
7,26381
8,24039
9,17452
10,11225
11,7482
12,4944
13,3591
14,2632
15,2035
16,1487
17,1209
18,981
19,807
20,693
21,576
22,480
23,427
24,397
25,297
26,279
27,258
28,244
29,236
30,197
31,196
32,191
33,153
34,159
35,145
36,150
37,132
38,137
39,124
40,89
41,94
42,112
43,93
44,108
45,104
46,89
47,84
48,84
49,81
50,82
51,66
52,69
53,61
54,59
55,52
56,67
57,58
58,58
59,50
60,43
61,44
62,30
63,40
64,31
65,37
66,34
67,33
68,32
69,25
70,18
71,15
72,26
73,15
74,29
75,23
76,23
77,15
78,17
79,11
80,9
81,9
82,12
83,15
84,13
85,11
86,11
87,18
88,10
89,15
90,8
91,12
92,11
93,10
94,10
95,3
96,7
97,4
98,6
99,4
100,4
