latency,weight
1,0
2,0
3,0
4,195
5,9777
6,42317
7,56779
8,43440
9,28113
10,17756
11,11982
12,8506
13,6351
14,4740
15,3768
16,3033
17,2495
18,2057
19,1664
20,1370
21,1247
22,1069
23,952
24,856
25,745
26,669
27,642
28,553
29,501
30,493
31,444
32,401
33,389
34,336
35,326
36,341
37,287
38,293
39,269
40,265
41,245
42,237
43,234
44,210
45,214
46,233
47,182
48,214
49,167
50,185
51,169
52,164
53,159
54,132
55,139
56,131
57,117
58,116
59,83
60,98
61,98
62,92
63,86
64,81
65,71
66,67
67,71
68,63
69,63
70,48
71,46
72,49
73,43
74,37
75,36
76,34
77,34
78,35
79,36
80,25
81,29
82,24
83,25
84,19
85,22
86,14
87,16
88,15
89,16
90,8
91,14
92,16
93,17
94,16
95,12
96,13
97,10
98,13
99,4
100,4
