latency,weight
1,0
2,0
3,0
4,90
5,5794
6,29841
7,44970
8,38009
9,25708
10,16609
11,10991
12,7470
13,5338
14,4018
15,3114
16,2359
17,1901
18,1478
19,1288
20,1117
21,890
22,798
23,707
24,567
25,525
26,459
27,373
28,399
29,398
30,370
31,333
32,298
33,272
34,283
35,240
36,212
37,209
38,196
39,212
40,161
41,192
42,194
43,161
44,171
45,141
46,164
47,150
48,146
49,126
50,130
51,118
52,125
53,112
54,115
55,100
56,77
57,100
58,72
59,73
60,68
61,48
62,72
63,56
64,51
65,54
66,52
67,45
68,51
69,47
70,49
71,35
72,43
73,38
74,26
75,21
76,22
77,29
78,23
79,23
80,23
81,24
82,20
83,13
84,20
85,10
86,18
87,20
88,10
89,19
90,8
91,14
92,12
93,14
94,14
95,13
96,12
97,7
98,6
99,9
100,16
