latency,weight
1,0
2,0
3,0
4,225
5,10797
6,47068
7,62151
8,46804
9,28998
10,18307
11,11990
12,8460
13,6140
14,4756
15,3650
16,2878
17,2212
18,1909
19,1474
20,1236
21,1067
22,922
23,829
24,755
25,631
26,551
27,530
28,468
29,418
30,387
31,351
32,318
33,317
34,297
35,290
36,276
37,258
38,219
39,213
40,192
41,178
42,164
43,172
44,177
45,162
46,140
47,163
48,152
49,135
50,149
51,124
52,127
53,121
54,118
55,114
56,121
57,141
58,106
59,123
60,87
61,85
62,78
63,82
64,82
65,78
66,59
67,59
68,63
69,48
70,49
71,43
72,41
73,37
74,30
75,30
76,26
77,39
78,31
79,40
80,33
81,25
82,15
83,23
84,34
85,23
86,18
87,21
88,17
89,12
90,16
91,11
92,9
93,19
94,14
95,19
96,10
97,12
98,9
99,6
100,6
