latency,weight
1,0
2,0
3,0
4,220
5,8357
6,34738
7,47213
8,37205
9,24182
10,15332
11,10259
12,7043
13,4962
14,3894
15,2905
16,2314
17,1820
18,1513
19,1265
20,1066
21,935
22,767
23,635
24,591
25,549
26,465
27,444
28,405
29,360
30,325
31,289
32,276
33,280
34,213
35,221
36,218
37,260
38,244
39,182
40,191
41,192
42,158
43,165
44,164
45,164
46,133
47,142
48,114
49,130
50,129
51,120
52,123
53,109
54,96
55,99
56,91
57,82
58,74
59,80
60,73
61,70
62,61
63,66
64,83
65,55
66,54
67,49
68,53
69,51
70,39
71,39
72,29
73,36
74,35
75,30
76,24
77,19
78,31
79,12
80,34
81,21
82,20
83,25
84,12
85,17
86,17
87,20
88,12
89,17
90,6
91,18
92,11
93,6
94,6
95,10
96,9
97,5
98,14
99,6
100,2
