PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=2.88 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=1.14 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=0.720 ms
64 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=3.70 ms
64 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=0.868 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=1.09 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=0.845 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=0.957 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=0.918 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=0.995 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=0.938 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=0.886 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=0.960 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=0.950 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=0.935 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=0.935 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=0.843 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=1.00 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=1.68 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=0.827 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=0.894 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=2.18 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=1.50 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=0.971 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=0.994 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=1.41 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=0.896 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=0.924 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=1.08 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=1.10 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=0.846 ms
64 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=1.42 ms
64 bytes from 10.0.0.6: icmp_seq=33 ttl=64 time=0.905 ms
64 bytes from 10.0.0.6: icmp_seq=34 ttl=64 time=0.883 ms
64 bytes from 10.0.0.6: icmp_seq=35 ttl=64 time=0.953 ms
64 bytes from 10.0.0.6: icmp_seq=36 ttl=64 time=0.988 ms
64 bytes from 10.0.0.6: icmp_seq=37 ttl=64 time=1.20 ms
64 bytes from 10.0.0.6: icmp_seq=38 ttl=64 time=0.993 ms
64 bytes from 10.0.0.6: icmp_seq=39 ttl=64 time=1.00 ms
64 bytes from 10.0.0.6: icmp_seq=40 ttl=64 time=1.15 ms
64 bytes from 10.0.0.6: icmp_seq=41 ttl=64 time=0.977 ms
64 bytes from 10.0.0.6: icmp_seq=42 ttl=64 time=0.834 ms
64 bytes from 10.0.0.6: icmp_seq=43 ttl=64 time=1.99 ms
64 bytes from 10.0.0.6: icmp_seq=44 ttl=64 time=0.976 ms
64 bytes from 10.0.0.6: icmp_seq=45 ttl=64 time=0.885 ms
64 bytes from 10.0.0.6: icmp_seq=46 ttl=64 time=0.909 ms
64 bytes from 10.0.0.6: icmp_seq=47 ttl=64 time=1.38 ms
64 bytes from 10.0.0.6: icmp_seq=48 ttl=64 time=1.00 ms
64 bytes from 10.0.0.6: icmp_seq=49 ttl=64 time=0.906 ms
64 bytes from 10.0.0.6: icmp_seq=50 ttl=64 time=1.02 ms

--- 10.0.0.6 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9875ms
rtt min/avg/max/mdev = 0.720/1.146/3.704/0.527 ms
