latency,weight
1,0
2,0
3,0
4,700
5,13301
6,29731
7,26541
8,17107
9,10456
10,6661
11,4520
12,3250
13,2471
14,1929
15,1391
16,1102
17,902
18,732
19,662
20,571
21,430
22,423
23,340
24,321
25,295
26,258
27,223
28,209
29,224
30,189
31,194
32,162
33,158
34,152
35,124
36,131
37,109
38,113
39,111
40,101
41,101
42,131
43,99
44,100
45,110
46,101
47,104
48,106
49,96
50,83
51,70
52,79
53,86
54,59
55,67
56,64
57,54
58,64
59,56
60,82
61,58
62,56
63,65
64,49
65,51
66,47
67,50
68,38
69,40
70,35
71,22
72,27
73,35
74,17
75,25
76,28
77,18
78,18
79,22
80,23
81,8
82,14
83,24
84,14
85,16
86,18
87,11
88,20
89,20
90,6
91,10
92,12
93,7
94,13
95,10
96,12
97,4
98,5
99,9
100,5
