latency,weight
1,0
2,0
3,0
4,810
5,24088
6,67542
7,63322
8,39331
9,23755
10,15284
11,10475
12,7675
13,5879
14,4561
15,3535
16,2722
17,2263
18,1788
19,1583
20,1314
21,1080
22,936
23,857
24,760
25,657
26,604
27,535
28,500
29,455
30,395
31,371
32,366
33,329
34,361
35,319
36,280
37,262
38,251
39,267
40,249
41,250
42,247
43,214
44,213
45,197
46,183
47,194
48,188
49,186
50,161
51,169
52,169
53,165
54,146
55,156
56,119
57,114
58,161
59,139
60,130
61,126
62,117
63,90
64,112
65,95
66,103
67,97
68,83
69,70
70,51
71,64
72,52
73,51
74,42
75,45
76,48
77,42
78,36
79,40
80,39
81,22
82,41
83,40
84,20
85,33
86,31
87,26
88,23
89,13
90,21
91,13
92,23
93,21
94,12
95,15
96,11
97,14
98,8
99,11
100,9
