latency,weight
1,0
2,0
3,365
4,7076
5,15143
6,17248
7,13337
8,8670
9,5143
10,2929
11,1684
12,1073
13,734
14,538
15,425
16,377
17,258
18,240
19,208
20,208
21,183
22,167
23,163
24,161
25,154
26,139
27,136
28,118
29,126
30,132
31,133
32,157
33,140
34,121
35,128
36,136
37,143
38,166
39,174
40,152
41,185
42,150
43,153
44,164
45,175
46,159
47,187
48,188
49,157
50,162
51,190
52,143
53,153
54,159
55,158
56,156
57,173
58,150
59,149
60,144
61,149
62,157
63,154
64,138
65,136
66,148
67,163
68,159
69,128
70,139
71,144
72,138
73,143
74,111
75,112
76,103
77,86
78,79
79,64
80,55
81,57
82,55
83,43
84,57
85,31
86,38
87,38
88,26
89,38
90,26
91,9
92,12
93,12
94,8
95,8
96,13
97,8
98,6
99,6
100,4
