latency,weight
1,0
2,0
3,215
4,5624
5,14336
6,15290
7,11783
8,7860
9,4909
10,3051
11,2026
12,1426
13,1075
14,904
15,809
16,625
17,520
18,404
19,415
20,391
21,337
22,337
23,346
24,319
25,324
26,282
27,287
28,250
29,291
30,299
31,326
32,293
33,291
34,255
35,245
36,256
37,234
38,251
39,273
40,258
41,246
42,303
43,286
44,288
45,283
46,255
47,244
48,225
49,180
50,221
51,220
52,185
53,196
54,195
55,231
56,176
57,156
58,146
59,143
60,143
61,140
62,122
63,122
64,124
65,116
66,140
67,127
68,119
69,111
70,116
71,117
72,100
73,100
74,90
75,95
76,86
77,66
78,74
79,55
80,55
81,59
82,51
83,50
84,31
85,32
86,37
87,27
88,18
89,21
90,10
91,18
92,15
93,9
94,8
95,10
96,7
97,7
98,6
99,4
100,0
